,business_id,cool,date,funny,review_id,stars,useful,user_id,fear_score,happy_score,sad_score,anger_score,neutral_score,surprise_score,disgust_score,fear_normalized,happy_normalized,sad_normalized,anger_normalized,neutral_normalized,surprise_normalized,disgust_normalized,review_length
84442,XH2TZmZt6gzHHpjqk8C6pg,1,2009-05-26 13:42:02,3,rtQJU6GHxnxsXKBspKzWaA,5,6,lJzgOpVS1pmb2UW7j2GkDg,2.4055228904145007,3.0254552269209016,2.5626368669198007,2.2444980166198008,1.005997474534,2.9255124977796005,1.4239821523006004,0.15426342215646136,0.19401897140357313,0.1643389611508715,0.14393708180739803,0.0645134634639172,0.1876097588874799,0.0913183411302989,307
75795,yNVcnSaMSrTmjJBMrHTy9w,2,2012-06-01 18:22:23,1,wU-awV0uGkZdjnIFsgoTQA,4,5,8iqGB11mHwCTLOOHkqnqmQ,0.5328273016891,0.5134714395972998,0.3631853561121,0.40408265730410003,0.15302070967,0.5492975927082999,0.13842551475370002,0.20074037580343196,0.19344813867896396,0.13682850830114973,0.15223638921228694,0.05764988893678539,0.2069454865368817,0.052151212530500306,88
42057,zk3AimWhuz0EZsNgIddKdg,0,2018-05-19 16:05:50,0,WBE8cGKMIJggpXRA4KTaog,2,0,qFk5mtbEqpRgg2v2HRoryQ,0.3652996457413999,0.8868912596913999,0.3049103530775,0.45520848004139997,0.130912251347,0.2933596752414,0.3154420489214,0.13273855304185675,0.32226875631914725,0.11079495845895396,0.16540863282373136,0.047569448867065434,0.10659780064484005,0.11462184984440539,101
25891,MN0Pd66285k2k9lkpEtptA,0,2017-03-15 20:01:16,0,_NcurWksF9tSwXK9Mq3GIA,1,0,D4xs1lDiug7hU_NfPnJxpQ,1.3013862212474998,1.1985325556564996,1.0125520999358,1.5272847626042998,0.44962298804799994,1.3603302035103995,0.5151312354252998,0.17670257731458344,0.16273707844925805,0.13748460126805206,0.20737514308916766,0.061049932380416595,0.18470600735939763,0.06994466013912455,195
51127,N9oZ9GDPf65x6zv7fsKJvA,0,2012-11-07 23:02:55,1,bQ1zd9OOjNwMJexVp2jZSA,3,2,cuVrNmt7_WtBn1uz5L_p0g,0.14893101134550002,0.2744894426425,0.1675544036325,0.2634040050925,0.06173724608499999,0.4254463569925,0.08002714725150002,0.1047637166022962,0.19308627477597531,0.11786411640554782,0.18528835795926563,0.043428318214066744,0.2992750883161739,0.05629412772667443,27
40493,V78f9CdEVTkKFkyhdTYVrQ,0,2017-12-30 00:19:30,1,MLwORlIv5_hHrP5t3NoiEQ,2,0,E7SNJmkznqEChusdrp25aQ,0.0349252056984,0.11323845869840002,0.07515756469840001,0.16510279729340002,0.0213574382,0.07064656583450002,0.0266420720984,0.06887648379332155,0.22331913898157432,0.14821927840877444,0.3256015222991767,0.042119300849717184,0.13932307482377065,0.05254120084366512,17
78379,S-oLPRdhlyL5HAknBKTUcQ,1,2014-12-03 02:53:11,0,m2Anz-RKC0pDBkY_i5mHbQ,5,1,UGjV8dDechaxUmbbiOys_g,0.2954684251873,0.8309488529867,0.4060131642132999,0.3026361882585,0.12006554012,0.6292157327384998,0.1199486623527,0.1092588841467042,0.30726986953938973,0.1501363309554894,0.11190939339990387,0.04439806700044781,0.23267260724383587,0.04435484771422912,59
30331,faPVqws-x-5k2CQKDNtHxw,0,2016-04-12 18:26:12,0,mqUaH9qHVKg4AQQuodNg1A,5,0,VUKoeNObTjuNQYJG7HUAzA,0.5674231234253,0.7083774742853002,0.7900492008993,0.5020355079522001,0.29151320277,0.6811880501542003,0.41445878761840005,0.14346817131709586,0.17910729514236026,0.19975730530565403,0.12693546189545368,0.07370666507867044,0.172232677598214,0.10479242366255181,63
47659,qxdZWoRVwf4lpI_gjAN2gA,4,2013-03-19 00:21:53,0,rbEV7igbbmvRvmfMaPD-CA,5,10,KcFMI-hsr2Em7whfI4OM5g,1.752204689476601,1.7276876317788008,1.6489800673474009,1.453566939136201,0.5962168550449998,1.9274782150530014,0.9211154175940997,0.174744293971823,0.17229925089928774,0.1644498838365189,0.14496167602200177,0.059459659031080636,0.19222401461333619,0.09186122162595166,270
58338,r5PLDU-4mSbde5XekTXSCA,0,2017-03-17 01:00:19,0,aQEnT-pyWU_pcuRDcSDYpA,5,0,zon8kE1wD0Qhha9yoQyTBw,0.1863805452889,0.09674299008889999,0.0832269286889,0.0850553621889,0.010809385999999999,0.27682052452500006,0.0122958730189,0.24806695586604885,0.1287620390611767,0.11077256380988669,0.11320615435253395,0.014386970891434458,0.3684398751689314,0.016365440849988026,37
90811,-wabMTvmllPuVDN0hXa1LA,0,2017-07-30 00:11:00,0,dEXBqYjMw44sfAq9fU32hw,5,0,HScnoJ4NlKNRzm47aOGCRA,0.0722004393453,0.3606324579084999,0.02960926578749999,0.027465934046499992,0.06428134439999998,0.0343623202315,0.09408722270930002,0.1057666511761485,0.5282916243208199,0.04337470678192266,0.04023493335864818,0.09416594402941462,0.05033747121879193,0.1378286691142542,19
50468,PmkXtqIcjQGpNShB8yTSrA,0,2018-09-15 20:45:42,0,1kqnfRtU7o4-Cr5DidATPA,1,0,QW-MVWcbmdOz1mCFuc3yPw,0.5652879266222999,0.5349523379585,0.6343172891403,0.6124201045787999,0.19704654358600004,0.6450036075757997,0.45001199901809996,0.1553398578671904,0.14700370595340506,0.17430897229049122,0.16829167495000197,0.054147949447224036,0.17724554869468392,0.12366229079700324,90
28183,z2UlLGVFpOwmHG-YSuo03Q,1,2011-05-29 21:16:48,0,Y2WPwEKp1vHVDUXXckyXSg,5,5,p4fbfhnNCvX41vy3Kt3hvw,0.4779717116312999,0.6159007864038998,0.4059929484087,0.45089252487309983,0.203518954866,0.7339904293241999,0.16984198964110003,0.1562964752681599,0.20139920352456603,0.1327594610221538,0.14744159674618643,0.06655058138744564,0.24001444895640442,0.0555382330950837,69
